"Viti Godina Year","Muaji Mesec Month","Përshkrimi i Sektorit (Kryesor)  Opis (Glavnog) Sektora Description of (Primary) Sector","Komuna Opština Municipality","","Statusi i Regjistrimit Status Registracije Registration Status","Përshkrimi i Gjobave në bazë të Ligjit Opis novčanih kazni na osnovu zakona Description of Fines based on the Law","Numri i Tatimpaguesve Broj Poreskih Obveznika Number of Taxpayers","Numri i Gjobave të Lëshuara Broj izrečenih kazni Number of Issued Fines","Vlera e Gjobave të Lëshuara Vrednost izrečenih kazni Value of Issued Fines"
"2019","1","Arsimi","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Arsimi","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Arsimi","PRISHTINË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Ndertimtaria","ISTOG","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1250"
"2019","1","Ndertimtaria","ISTOG","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1250"
"2019","1","Ndertimtaria","JUNIK","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","GJILAN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","DRAGASH","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","DRAGASH","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","FERIZAJ","","Individual","Nd.Neni.15(15.3)-Ligji03/L-222","1","1","500"
"2019","1","Ndertimtaria","PRIZREN","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
